,vfid,vfacc,vf_full_name,vf_pathogen,vf_short_name,vf_category
721,VFG000943,AAK16476,chaperone protein DraB ,Escherichia coli O75:K5:H- str. IH11128,draB,Dr adhesins (VF0223) 
722,VFG000944,AAK16477,usher protein DraC ,Escherichia coli O75:K5:H- str. IH11128,draC,Dr adhesins (VF0223) 
723,VFG000945,AAK16478,"DraD, periplasmic protein ",Escherichia coli O75:K5:H- str. IH11128,draD,Dr adhesins (VF0223) 
724,VFG000946,AAK16479,DraP ,Escherichia coli O75:K5:H- str. IH11128,draP,Dr adhesins (VF0223) 
725,VFG001424,AAB65153,Dr-II structural adhesin precursor ,Escherichia coli EC7372,draE2,Afa/Dr family (VF0212) 
726,VFG001425,CAA54121,AFA-III adhesin ,Escherichia coli str. A30,afaE-III,Afa/Dr family (VF0212) 
727,VFG001426,CAW30801,AFA-I adhesin ,Escherichia coli O25b:H4 str. FV9863,afaE-I,Afa/Dr family (VF0212) 
728,VFG001427,AAA23661,F1845 fimbrial adhesin ,Escherichia coli str. C1845,daaE,Afa/Dr family (VF0212) 
729,VFG001428,AAK16480,adhesin protein DraE ,Escherichia coli O75:K5:H- str. IH11128,draE,Afa/Dr family (VF0212) 
730,VFG001429,AAT07441,CS1 pilin major subunit ,Escherichia coli,cooA,Adhesive fimbriae (VF0213) 
731,VFG001430,AAA23614,fimbrial subunit precursor of CS3 ,Escherichia coli,cs3,Adhesive fimbriae (VF0213) 
732,VFG001431,CAA11820,fimbrial subunit CS5 ,Escherichia coli,csfA,Adhesive fimbriae (VF0213) 
733,VFG001432,AAC45093,CS6 structural subunit A ,Escherichia coli E10703,cssA,Adhesive fimbriae (VF0213) 
734,VFG001433,AAK09045,CS7 fimbria major subunit CsvA precursor ,Escherichia coli O114:H49 str. E29101A,csvA,Adhesive fimbriae (VF0213) 
735,VFG001434,AAK09047,CS12 fimbria major subunit protein precursor ,Escherichia coli O159:H4 str. 350C1,cswA,Adhesive fimbriae (VF0213) 
736,VFG001435,AAC41415,colonization factor antigen 1 ,Escherichia coli str. E7473,cfaB,Adhesive fimbriae (VF0213) 
737,VFG001436,BAB62897,CFA/III pilin ,Escherichia coli str. 260-1,cofA,Adhesive fimbriae (VF0213) 
738,VFG001437,AAD30557,CS22 adhesin protein ,Escherichia coli str. ARG-3,cseA,Adhesive fimbriae (VF0213) 
739,VFG001438,AAS89777,CS17 fimbrial subunit ,Escherichia coli O8:H9 str. WS6788A,csbA,Adhesive fimbriae (VF0213) 
740,VFG001439,AAL31637,CS20 fimbria major subunit protein ,Escherichia coli str. H721A,csnA,Adhesive fimbriae (VF0213) 
741,VFG001442,AAF98391,invasion protein IbeA ,Escherichia coli O18:K1:H7 str. RS218,ibeA,Ibes (VF0237) 
742,VFG001443,AAF37887,outer membrane protein A ,Escherichia coli O18:K1:H7 str. RS218,ompA,OmpA (VF0236) 
743,VFG001444,AAG10151,putative arylsulfatase ,Escherichia coli O18:K1:H7 str. RS218,aslA,AslA (VF0238) 
744,VFG001446,YP_540124,S-fimbrial major subunit SfaA ,Escherichia coli UTI89,sfaA,S fimbriae (VF0222) 
745,VFG001447,CAA50007,cytotoxic necrotizing factor 1 ,Escherichia coli str. E-B35,cnf1,CNF-1 (VF0240) 
746,VFG001448,AAA21682,KpsD ,Escherichia coli O18:K1:H7 str. RS218,kpsD,K1 capsule (VF0239) 
747,VFG001449,AAA24047,KpsT ,Escherichia coli O18:K1:H7 str. RS218,kpsT,K1 capsule (VF0239) 
748,VFG001450,AAA24046,KpsM ,Escherichia coli O18:K1:H7 str. RS218,kpsM,K1 capsule (VF0239) 
749,VFG001534,AAD49229,EHEC factor for adherence ,Escherichia coli O111:H- str. E45035,efa1,Efa-1/LifA (VF0204) 
750,VFG001713,NP_755457,PapX protein regulates flagellum synthesis to repress motility ,Escherichia coli CFT073,papX,P fimbriae (CVF425) 
751,VFG002037,AAA24685,heat-labile enterotoxin A prepeptide (from human) ,Escherichia coli,eltA,Heat-labile toxin (LT) (VF0210) 
752,VFG002038,AAA98064,enterotoxin subunit B (from human) ,Escherichia coli,eltB,Heat-labile toxin (LT) (VF0210) 
753,VFG002039,YP_003294006,heat stable enterotoxin I ,Escherichia coli O78:H11:K80 str. H10407,estIa,Heat-stable toxin (ST) (VF0211) 
754,VFG002121,NP_287961,Type III secretion system effector NleA ,Escherichia coli O157:H7 str. EDL933,nleA/espI,NleA/EspI (VF0338) 
755,VFG002122,NP_286533,"Type III secretion system effector NleC, zinc metalloprotease ",Escherichia coli O157:H7 str. EDL933,nleC,NleC (VF0340) 
756,VFG002123,NP_286535,Type III secretion system effector NleD ,Escherichia coli O157:H7 str. EDL933,nleD,NleD (VF0343) 
757,VFG002412,NP_286009,E. coli common pilus chaperone EcpB ,Escherichia coli O157:H7 str. EDL933,yagY/ecpB,ECP (VF0404) 
758,VFG002413,NP_286011,regulator protein EcpR ,Escherichia coli O157:H7 str. EDL933,ykgK/ecpR,ECP (VF0404) 
759,VFG002414,NP_286010,E. coli common pilus structural subunit EcpA ,Escherichia coli O157:H7 str. EDL933,yagZ/ecpA,ECP (VF0404) 
760,VFG002415,NP_286008,E. coli common pilus usher EcpC ,Escherichia coli O157:H7 str. EDL933,yagX/ecpC,ECP (VF0404) 
761,VFG002416,NP_286007,polymerized tip adhesin of ECP fibers ,Escherichia coli O157:H7 str. EDL933,yagW/ecpD,ECP (VF0404) 
762,VFG002417,NP_286006,E. coli common pilus chaperone EcpE ,Escherichia coli O157:H7 str. EDL933,yagV/ecpE,ECP (VF0404) 
763,VFG012327,YP_540122,S fimbrial switch regulatory protein SfaC ,Escherichia coli UTI89,sfaC,S fimbriae (VF0222) 
764,VFG012329,YP_540123,S fimbrial switch regulatory protein SfaB ,Escherichia coli UTI89,sfaB,S fimbriae (VF0222) 
765,VFG012333,YP_540125,S fimbriae minor subunit SfaD ,Escherichia coli UTI89,sfaD,S fimbriae (VF0222) 
766,VFG012335,YP_540126,S fimbriae periplasmic chaperone SfaE ,Escherichia coli UTI89,sfaE,S fimbriae (VF0222) 
767,VFG012337,YP_540127,S fimbriae outer membrane usher SfaF ,Escherichia coli UTI89,sfaF,S fimbriae (VF0222) 
768,VFG012339,YP_540128,S fimbriae minor subunit SfaG ,Escherichia coli UTI89,sfaG,S fimbriae (VF0222) 
769,VFG012341,YP_540129,S fimbriae minor subunit SfaS ,Escherichia coli UTI89,sfaS,S fimbriae (VF0222) 
770,VFG012343,YP_540130,S fimbriae adhesin SfaH ,Escherichia coli UTI89,sfaH,S fimbriae (VF0222) 
771,VFG012362,NP_290254,"Type III secretion system translocator protein EspB, pore protein ",Escherichia coli O157:H7 str. EDL933,espB,TTSS (VF0191) 
772,VFG012436,NP_288437,Type III secretion system effector TccP ,Escherichia coli O157:H7 str. EDL933,espFu/tccP,LEE encoded T3SS (SS020) 
773,VFG012438,NP_288436,"Type III secretion system effector EspJ, adenosine diphosphate (ADP) ribosyltransferase ",Escherichia coli O157:H7 str. EDL933,espJ,LEE encoded T3SS (SS020) 
774,VFG012501,NP_753165,esterase ,Escherichia coli CFT073,iroE,Salmochelin (IA013) 
775,VFG012505,NP_753166,esterase ,Escherichia coli CFT073,iroD,Salmochelin (IA013) 
776,VFG012509,NP_753167,ATP binding cassette transporter ,Escherichia coli CFT073,iroC,Salmochelin (IA013) 
777,VFG012513,NP_753168,glucosyltransferase IroB ,Escherichia coli CFT073,iroB,Salmochelin (IA013) 
778,VFG033805,YP_003498587,Type III secretion system effector NleD ,Escherichia coli O55:H7 str. CB9615,nleD,NleD (VF0342) 
779,VFG034541,YP_006203830,Two-partner secreted adhesin EtpA ,Escherichia coli O78:H11:K80 str. H10407,etpA,EtpA (VF0437) 
780,VFG034746,NP_287316,Type III secretion system effector EspK ,Escherichia coli O157:H7 str. EDL933,espK,LEE encoded T3SS (SS020) 
781,VFG034754,NP_288154,Type III secretion system effector espL1 ,Escherichia coli O157:H7 str. EDL933,espL1,LEE encoded T3SS (SS020) 
782,VFG034761,NP_289551,Type III secretion system effector espL2 ,Escherichia coli O157:H7 str. EDL933,espL2,LEE encoded T3SS (SS020) 
783,VFG034772,NP_290644,Type III secretion system effector EspL4 ,Escherichia coli O157:H7 str. EDL933,espL4,LEE encoded T3SS (SS020) 
784,VFG034778,NP_287949,"Type III secretion system effector EspM1, Rho guanine exchange factor ",Escherichia coli O157:H7 str. EDL933,espM1,LEE encoded T3SS (SS020) 
785,VFG034786,NP_289175,"Type III secretion system effector EspM2, Rho guanine exchange factor ",Escherichia coli O157:H7 str. EDL933,espM2,LEE encoded T3SS (SS020) 
786,VFG034795,NP_287312,Type III secretion system effector EspN ,Escherichia coli O157:H7 str. EDL933,espN,LEE encoded T3SS (SS020) 
787,VFG034815,NP_287686,Type III secretion system effector espR1 ,Escherichia coli O157:H7 str. EDL933,espR1,LEE encoded T3SS (SS020) 
788,VFG034825,NP_288394,Type III secretion system effector espR3 ,Escherichia coli O157:H7 str. EDL933,espR3,LEE encoded T3SS (SS020) 
789,VFG034831,NP_288396,Type III secretion system effector espR4 ,Escherichia coli O157:H7 str. EDL933,espR4,LEE encoded T3SS (SS020) 
790,VFG034840,NP_289177,Type III secretion system effector EspW ,Escherichia coli O157:H7 str. EDL933,espW,LEE encoded T3SS (SS020) 
791,VFG034849,NP_285716,Type III secretion system effector EspX1 ,Escherichia coli O157:H7 str. EDL933,espX1,LEE encoded T3SS (SS020) 
792,VFG034859,NP_286562,Type III secretion system effector EspX2 ,Escherichia coli O157:H7 str. EDL933,espX2,LEE encoded T3SS (SS020) 
793,VFG034866,NP_290672,Type III secretion system effector EspX4 ,Escherichia coli O157:H7 str. EDL933,espX4,LEE encoded T3SS (SS020) 
794,VFG034873,NP_290699,Type III secretion system effector EspX5 ,Escherichia coli O157:H7 str. EDL933,espX5,LEE encoded T3SS (SS020) 
795,VFG034880,NP_290952,Type III secretion system effector EspX6 ,Escherichia coli O157:H7 str. EDL933,espX6,LEE encoded T3SS (SS020) 
796,VFG034887,NP_287310,"Type III secretion system effector NleL, putative E3 ubiquitin ligase ",Escherichia coli O157:H7 str. EDL933,espX7/nleL,LEE encoded T3SS (SS020) 
797,VFG034895,NP_285753,Type III secretion system effector EspY1 ,Escherichia coli O157:H7 str. EDL933,espY1,LEE encoded T3SS (SS020) 
798,VFG034901,NP_285765,Type III secretion system effector EspY2 ,Escherichia coli O157:H7 str. EDL933,espY2,LEE encoded T3SS (SS020) 
799,VFG034908,NP_286160,Type III secretion system effector EspY3 ,Escherichia coli O157:H7 str. EDL933,espY3,LEE encoded T3SS (SS020) 
800,VFG034915,NP_290352,Type III secretion system effector EspY4 ,Escherichia coli O157:H7 str. EDL933,espY4,LEE encoded T3SS (SS020) 
801,VFG034932,NP_289553,Type III secretion system effector nleB1 ,Escherichia coli O157:H7 str. EDL933,nleB1,LEE encoded T3SS (SS020) 
802,VFG034942,NP_286532,Type III secretion system effector NleB2 ,Escherichia coli O157:H7 str. EDL933,nleB2,LEE encoded T3SS (SS020) 
803,VFG034954,NP_289554,Type III secretion system effector NleE ,Escherichia coli O157:H7 str. EDL933,nleE,LEE encoded T3SS (SS020) 
804,VFG034966,NP_287958,"Type III secretion system effector NleF, caspase inhibitor ",Escherichia coli O157:H7 str. EDL933,nleF,LEE encoded T3SS (SS020) 
805,VFG035043,NP_287535,"Type III secretion system effector NleG7, E3 Ubiquitin Ligase ",Escherichia coli O157:H7 str. EDL933,nleG7',LEE encoded T3SS (SS020) 
806,VFG035062,NP_286534,Type III secretion system effector NleH1 ,Escherichia coli O157:H7 str. EDL933,nleH1,LEE encoded T3SS (SS020) 
807,VFG035073,NP_287959,Type III secretion system effector NleH2 ,Escherichia coli O157:H7 str. EDL933,nleH2,LEE encoded T3SS (SS020) 
808,VFG042218,AAN07916,"Type III secretion system effector Cif, cyclomodulin ",Escherichia coli O26 str. C/15333,cif,Cif (VF0205) 
809,VFG042219,CAX32470,"Type III secretion system effector EspT, Rho guanine exchange factor ",Escherichia coli ONT:H- str. FV11678,espT,LEE encoded T3SS (SS020) 
810,VFG042382,CBJ04459,two-partner secretion transporter EtpB ,Escherichia coli O78:H11:K80 str. H10407,etpB,EtpA (VF0437) 
811,VFG042389,YP_540131,regulatory protein SfaY ,Escherichia coli UTI89,sfaY,S fimbriae (VF0222) 
812,VFG042390,YP_540132,regulatory protein SfaX ,Escherichia coli UTI89,sfaX,S fimbriae (VF0222) 
813,VFG042423,CAW30797,fimbrial major subunit AfaA ,Escherichia coli O25b:H4 str. FV9863,afaA,"Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010) "
814,VFG042424,CAW30798,chaperone AfaB ,Escherichia coli O25b:H4 str. FV9863,afaB-I,"Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010) "
815,VFG042425,CAW30799,usher AfaC ,Escherichia coli O25b:H4 str. FV9863,afaC-I,"Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010) "
816,VFG042426,CAW30800,AfaD ,Escherichia coli O25b:H4 str. FV9863,afaD,"Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010) "
817,VFG042428,CAA59767,afimbrial adhesin AfaE-II protein ,Escherichia coli str. A22,afaE-II,"Afimbrial adhesin, AFA-II, chloramphenicol-resistant adhesin (AI011) "
818,VFG042429,CAA54112,AfaF-III ,Escherichia coli str. A30,afaF-III,"Afimbrial adhesin, AFA-III (AI012) "
819,VFG042432,CAA54117,AFA-III usher protein ,Escherichia coli str. A30,afaC-III,"Afimbrial adhesin, AFA-III (AI012) "
820,VFG042435,CAA62863,AfaE-V adhesin ,Escherichia coli str. AL 851,afaE-V,"Afimbrial adhesin, AFA-V (AI013) "
821,VFG042436,AAD44025,AfaC-VII usher protein ,Escherichia coli str. 239 KH 89,afaC-VII,"Afimbrial adhesin, AFA-VII (AI014) "
822,VFG042437,AAD44026,AfaD-VII ,Escherichia coli str. 239 KH 89,afaD-VII,"Afimbrial adhesin, AFA-VII (AI014) "
823,VFG042438,AAD44027,AfaG-VII ,Escherichia coli str. 239 KH 89,afaG-VII,"Afimbrial adhesin, AFA-VII (AI014) "
824,VFG042439,AAD44028,adhesin AfaE-VII ,Escherichia coli str. 239 KH 89,afaE-VII,"Afimbrial adhesin, AFA-VII (AI014) "
825,VFG042440,AAK16195,AfaF-VII ,Escherichia coli str. 239 KH 89,afaF-VII,"Afimbrial adhesin, AfaE-VIII (AI015) "
826,VFG042441,AAK16196,AfaA-VIII ,Escherichia coli str. 239 KH 89,afaA-VIII,"Afimbrial adhesin, AfaE-VIII (AI015) "
827,VFG042442,AAK16197,chaperone protein AfaB-VIII ,Escherichia coli str. 239 KH 89,afaB-VIII,"Afimbrial adhesin, AfaE-VIII (AI015) "
828,VFG042443,AAD44022,AfaC-VIII usher protein ,Escherichia coli str. 239 KH 89,afaC-VIII,"Afimbrial adhesin, AfaE-VIII (AI015) "
829,VFG042444,AAD44023,AfaD-VIII ,Escherichia coli str. 239 KH 89,afaD-VIII,"Afimbrial adhesin, AfaE-VIII (AI015) "
830,VFG042445,AAD44024,AfaE-VIII adhesin ,Escherichia coli str. 239 KH 89,afaE-VIII,"Afimbrial adhesin, AfaE-VIII (AI015) "
831,VFG042446,ABU51870,DaaC usher protein ,Escherichia coli str. C1845,daaC,F1845 fimbrial adhesin (AI016) 
832,VFG042447,AAA23662,DaaF protein ,Escherichia coli str. C1845,daaF,F1845 fimbrial adhesin (AI016) 
833,VFG042448,AAA23663,DaaA protein ,Escherichia coli str. C1845,daaA,F1845 fimbrial adhesin (AI016) 
834,VFG042450,AAG10405,DaaD precursor ,Escherichia coli str. C1845,daaD,F1845 fimbrial adhesin (AI016) 
835,VFG042455,AAC41414,"colonisation factor antigen a, chaperone ",Escherichia coli str. E7473,cfaA,Colonization factor antigen I fimbriae (CFA/I) (AI018) 
836,VFG042457,AAC41416,"colonisation factor antigen c, usher ",Escherichia coli str. E7473,cfaC,Colonization factor antigen I fimbriae (CFA/I) (AI018) 
837,VFG042458,AAC41417,colonisation factor antigen e ,Escherichia coli str. E7473,cfaE,Colonization factor antigen I fimbriae (CFA/I) (AI018) 
838,VFG042459,AAC41418,colonisation factor antigen d' ,Escherichia coli str. E7473,cfaD',Colonization factor antigen I fimbriae (CFA/I) (AI018) 
839,VFG042471,AAK97134,periplasmic chaperone-like protein CsaA ,Escherichia coli O25:H42 str. E11881A,csaA,coli surface antigen CS4 (AI022) 
840,VFG042472,AAK97135,CS4 major fimbriae subunit CsaB ,Escherichia coli O25:H42 str. E11881A,csaB,coli surface antigen CS4 (AI022) 
841,VFG042473,AAK97136,usher protein CsaC ,Escherichia coli O25:H42 str. E11881A,csaC,coli surface antigen CS4 (AI022) 
842,VFG042474,AAK97137,minor pilin protein CsaE ,Escherichia coli O25:H42 str. E11881A,csaE,coli surface antigen CS4 (AI022) 
843,VFG042506,AAS89776,CS17 fimbriae periplasmic chaperone ,Escherichia coli O8:H9 str. WS6788A,csbB,coli surface antigen CS17 (AI030) 
844,VFG042508,AAS89778,CS17 fimbriae outer membrane usher protein ,Escherichia coli O8:H9 str. WS6788A,csbC,coli surface antigen CS17 (AI030) 
845,VFG042509,AAS89779,CS17 fimbriae minor subunit ,Escherichia coli O8:H9 str. WS6788A,csbD,coli surface antigen CS17 (AI030) 
846,VFG042519,AAQ19774,CS19 fimbrial chaperone CsdB ,Escherichia coli O114:H- str. WS0115A,csdB,coli surface antigen CS19 (AI032) 
847,VFG042520,AAQ19775,CS19 fimbrial subunit CsdA ,Escherichia coli O114:H- str. WS0115A,csdA,coli surface antigen CS19 (AI032) 
848,VFG042521,AAQ19776,CS19 fimbrial usher CsdC ,Escherichia coli O114:H- str. WS0115A,csdC,coli surface antigen CS19 (AI032) 
849,VFG042522,AAQ19777,CS19 fimbrial ahesin CsdD ,Escherichia coli O114:H- str. WS0115A,csdD,coli surface antigen CS19 (AI032) 
850,VFG042535,AAA92618,F17 fimbrial major subunit protein ,Escherichia coli str. 111KH86,f17d-A,F17 pili (AI037) 
851,VFG042536,AAA92619,F17 fimbrial chaperone ,Escherichia coli str. 111KH86,f17d-D,F17 pili (AI037) 
852,VFG042537,AAA92620,F17 fimbrial uscher ,Escherichia coli str. 111KH86,f17d-C,F17 pili (AI037) 
853,VFG042538,AAA92621,F17 fimbrial adhesin ,Escherichia coli str. 111KH86,f17d-G,F17 pili (AI037) 
854,VFG042552,YP_002295985,fimbrial usher protein FaeD ,Escherichia coli SE11,faeD,K88 pili/F4 fimbriae (AI040) 
855,VFG042553,YP_002295986,fimbrial chaperone FaeE ,Escherichia coli SE11,faeE,K88 pili/F4 fimbriae (AI040) 
856,VFG042554,YP_002295987,fimbrial protein FaeF ,Escherichia coli SE11,faeF,K88 pili/F4 fimbriae (AI040) 
857,VFG042555,YP_002295988,fimbrial protein FaeG ,Escherichia coli SE11,faeG,K88 pili/F4 fimbriae (AI040) 
858,VFG042556,YP_002295989,fimbrial protein FaeH ,Escherichia coli SE11,faeH,K88 pili/F4 fimbriae (AI040) 
859,VFG042557,YP_002295990,fimbrial protein FaeI ,Escherichia coli SE11,faeI,K88 pili/F4 fimbriae (AI040) 
860,VFG042558,YP_002295991,fimbrial protein FaeJ ,Escherichia coli SE11,faeJ,K88 pili/F4 fimbriae (AI040) 
861,VFG042559,AAL47165,FaeC ,Escherichia coli,faeC,K88 pili/F4 fimbriae (AI040) 
862,VFG043732,CAD48849,cytolethal distending toxin A ,Escherichia coli O157:H str. 493/89,cdtA,CDT (VF0185) 
863,VFG043733,CAD48850,cytolethal distending toxin B ,Escherichia coli O157:H str. 493/89,cdtB,CDT (VF0185) 
864,VFG043734,CAD48851,cytolethal distending toxin C ,Escherichia coli O157:H str. 493/89,cdtC,CDT (VF0185) 
865,VFG044159,NP_752602,enterobactin/ferric enterobactin esterase ,Escherichia coli CFT073,fes,enterobactin (IA019) 
866,VFG044165,NP_752609,"enterobactin exporter, iron-regulated ",Escherichia coli CFT073,entS,enterobactin (IA019) 
867,VFG044172,NP_756180,ATP-binding hydrophilic protein ChuV ,Escherichia coli CFT073,chuV,Chu (VF0227) 
868,VFG045328,AHY03744,EAST1 ,Escherichia coli ONT:HND str. A16,east1,EAST1 (VF0188) 
869,VFG045339,EIQ72111,non-LEE-encoded effector NleA ,Escherichia coli C342-62,nleA,NleA/EspI (VF0339) 
870,VFG045349,YP_002390132,adhesin FdeC ,Escherichia coli O45:K1:H7 str. S88,fdeC,FdeC (VF0506) 
871,VFG045464,NP_754290,Tir domain containing protein TcpC ,Escherichia coli CFT073,tcpC,TcpC (VF0413) 
872,VFG000326,NP_439686,choline kinase ,Haemophilus influenzae Rd KW20,licA,LOS (VF0044) 
873,VFG000327,NP_439687,choline permease ,Haemophilus influenzae Rd KW20,licB,LOS (VF0044) 
874,VFG000328,NP_439688,phosphocholine cytidyltransferase ,Haemophilus influenzae Rd KW20,licC,LOS (VF0044) 
875,VFG000329,NP_439689,phosphocholine transferase ,Haemophilus influenzae Rd KW20,licD,LOS (VF0044) 
876,VFG000330,NP_438812,3-deoxy-d-manno-octulosonic-acid transferase ,Haemophilus influenzae Rd KW20,kdtA,LOS (VF0044) 
877,VFG000331,NP_439675,ADP-heptose synthase ,Haemophilus influenzae Rd KW20,rfaE,LOS (VF0044) 
878,VFG000332,NP_439271,ADP-L-glycero-D-mannoheptose-6-epimerase ,Haemophilus influenzae Rd KW20,rfaD,LOS (VF0044) 
879,VFG000333,NP_438708,glycosyltransferase ,Haemophilus influenzae Rd KW20,lic2A,LOS (VF0044) 
880,VFG000334,NP_438494,opacity associated protein (oapA) ,Haemophilus influenzae Rd KW20,oapA,OapA (VF0040) 
881,VFG000335,NP_439322,"outer membrane protein P5 (ompA), human factor H binding protein ",Haemophilus influenzae Rd KW20,ompP5,P5 protein (VF0041) 
882,VFG000336,NP_438308,"outer membrane protein P2 (ompP2), laminin binding protein ",Haemophilus influenzae Rd KW20,ompP2,P2 protein (VF0042) 
883,VFG000337,NP_439153,immunoglobin A1 protease ,Haemophilus influenzae Rd KW20,iga1,IgA1 protease (VF0045) 
884,VFG000338,NP_439157,transferrin-binding protein 1 precursor ,Haemophilus influenzae Rd KW20,tbpA,Tbp (VF0267) 
885,VFG000339,NP_439158,transferrin-binding protein 2 precursor ,Haemophilus influenzae Rd KW20,tbpB,Tbp (VF0267) 
886,VFG000340,NP_438433,"heme-hemopexin utilization protein A, two-partner secretion (TPS) pathway TpsA protein, haem-haemopexin binding protein ",Haemophilus influenzae Rd KW20,hxuA,HxuABC (VF0269) 
887,VFG000341,NP_438432,"heme-hemopexin utilization protein B HxuB, two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein ",Haemophilus influenzae Rd KW20,hxuB,HxuABC (VF0269) 
888,VFG000344,NP_438273,"iron(III) ABC transporter, ATP-binding protein ",Haemophilus influenzae Rd KW20,hitC,HitABC (VF0268) 
889,VFG000347,NP_438870,hemoglobin-binding protein ,Haemophilus influenzae Rd KW20,hgpC,Hgp (VF0270) 
890,VFG000348,NP_438431,"heme-hemopexin utilization protein C, haem receptor ",Haemophilus influenzae Rd KW20,hxuC,HxuABC (VF0269) 
891,VFG000696,AAP42188,ATP-dependent polysaccharide export protein BexA ,Haemophilus influenzae str. 1007,bexA,Capsule (VF0043) 
892,VFG000697,AAP42189,capsular polysaccharide export ABC transporter transmembrane protein BexB ,Haemophilus influenzae str. 1007,bexB,Capsule (VF0043) 
893,VFG000698,AAP42190,capsular polysaccharide export protein BexC ,Haemophilus influenzae str. 1007,bexC,Capsule (VF0043) 
894,VFG000699,AAP42191,capsular polysaccharide export protein BexD ,Haemophilus influenzae str. 1007,bexD,Capsule (VF0043) 
895,VFG000700,AAP42192,bifunctional; ribulose 5-phosphate reductase; CDP-ribitol pyrophosphorylase ,Haemophilus influenzae str. 1007,bsc1,Capsule (VF0043) 
896,VFG000701,AAP42193,polysaccharide biosynthesis protein Bsc2 ,Haemophilus influenzae str. 1007,bsc2,Capsule (VF0043) 
897,VFG000702,AAP42194,polysaccharide biosynthesis protein Bsc3 ,Haemophilus influenzae str. 1007,bsc3,Capsule (VF0043) 
898,VFG000703,AAP42195,polysaccharide biosynthesis protein Bsc4 ,Haemophilus influenzae str. 1007,bsc4,Capsule (VF0043) 
899,VFG000704,AAP42196,capsular polysaccharide export protein HscA ,Haemophilus influenzae str. 1007,hscA,Capsule (VF0043) 
900,VFG000705,AAP42197,capsular polysaccharide export protein HscB ,Haemophilus influenzae str. 1007,hscB,Capsule (VF0043) 
901,VFG001144,CAA83905,Haemagglutinating pilus pilin ,Haemophilus influenzae AM30 (770235),hifA,Haemagglutinating pili (VF0036) 
902,VFG001145,CAA83901,periplasmic chaperone ,Haemophilus influenzae AM30 (770235),hifB,Haemagglutinating pili (VF0036) 
903,VFG001146,CAA83902,membrane anchor ,Haemophilus influenzae AM30 (770235),hifC,Haemagglutinating pili (VF0036) 
904,VFG001147,CAA83903,minor structural protein ,Haemophilus influenzae AM30 (770235),hifD,Haemagglutinating pili (VF0036) 
905,VFG001148,CAA83904,tip adhesin ,Haemophilus influenzae AM30 (770235),hifE,Haemagglutinating pili (VF0036) 
906,VFG001149,AAB03707,"autotransporter, fibronectin-binding adhesin ",Haemophilus influenzae N187,hap,Hap (VF0037) 
907,VFG001150,AAL79954,adhesin ,Haemophilus influenzae nontypable strain 3179B,hia,Hia/Hsf (VF0039) 
908,VFG001151,AAA20527,"adhesin HMW1A, two-partner secretion (TPS) pathway TpsA exoprotein ",Haemophilus influenzae str. 12,hmw1A,HMW1/HMW2 (VF0038) 
909,VFG001152,AAA20528,two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein ,Haemophilus influenzae str. 12,hmw1B,HMW1/HMW2 (VF0038) 
910,VFG001153,AAA20529,glycosyltransferase ,Haemophilus influenzae str. 12,hmw1C,HMW1/HMW2 (VF0038) 
911,VFG001154,AAA20524,"adhesin HMW2A, two-partner secretion (TPS) pathway TpsA exoprotein ",Haemophilus influenzae str. 12,hmw2A,HMW1/HMW2 (VF0038) 
912,VFG001155,AAA20525,two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein ,Haemophilus influenzae str. 12,hmw2B,HMW1/HMW2 (VF0038) 
913,VFG001156,AAA20526,glycosyltransferase ,Haemophilus influenzae str. 12,hmw2C,HMW1/HMW2 (VF0038) 
914,VFG001157,AAC44560,Hsf ,Haemophilus influenzae C54,hsf,Hia/Hsf (VF0039) 
915,VFG013236,NP_438231,3-deoxy-manno-octulosonate cytidylyltransferase ,Haemophilus influenzae Rd KW20,kdsB,LOS (CVF494) 
916,VFG013242,NP_438232,tetraacyldisaccharide 4'-kinase ,Haemophilus influenzae Rd KW20,lpxK,LOS (CVF494) 
917,VFG013248,NP_438233,lipid transporter ATP-binding/permease ,Haemophilus influenzae Rd KW20,msbA,LOS (CVF494) 
918,VFG013254,NP_438368,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase ,Haemophilus influenzae Rd KW20,msbB,LOS (CVF494) 
919,VFG013260,NP_438427,glycosyltransferase ,Haemophilus influenzae Rd KW20,lgtC,LOS (CVF494) 
920,VFG013265,NP_438428,deoxyribonucleotide triphosphate pyrophosphatase ,Haemophilus influenzae Rd KW20,orfM,LOS (CVF494) 
921,VFG013271,NP_438429,3-deoxy-D-manno-octulosonic-acid kinase ,Haemophilus influenzae Rd KW20,kdkA,LOS (CVF494) 
922,VFG013276,NP_438430,heptosyltransferase I ,Haemophilus influenzae Rd KW20,opsX/rfaC,LOS (CVF494) 
923,VFG013281,NP_438444,phosphoethanolamine (Petn) transferase ,Haemophilus influenzae Rd KW20,lpt6,LOS (CVF494) 
924,VFG013286,NP_438515,UDP-glucose 4-epimerase ,Haemophilus influenzae Rd KW20,galE,LOS (CVF494) 
